;Topic 1;Topic 2;Topic 3;Topic 4;Topic 5;Topic 6;Topic 7
1;doxx;racism;instanc;violenc;share;use;warn
2;dogpil;transphobia;hate;promot;inform;server;spam
3;violent;sexism;rule;explicit;mislead;includ;post
4;casteism;homophobia;speech;violent;intent;user;content_warn
5;doxx_user;racism_sexism;kind;sexual;fals;person;nsfw
6;harass_dogpil;homophobia_transphobia;respect;illeg;mislead_inform;without;allow
7;dogpil_doxx;sexism_homophobia;peopl;media;fals_mislead;rule;advertis
8;transphobia_xenophobia;harass;toler;incit;intent_fals;inform;account
9;explicit_violent;xenophobia;hate_speech;content_illeg;share_intent;respect;discrimin
10;xenophobia_casteism;transphobia_xenophobia;harass;ideolog;harass;account;illeg
